Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL,Directory,Gender
Belfast West,17,55,Alex,ATTWOOD,1,23,Social Democratic and Labour Party,,belfast-west,M
Belfast West,17,56,Conor,CAMPBELL,0,998,Workers Party,,belfast-west,M
Belfast West,17,57,Gerry,CARROLL,0,999,People Before Profit Alliance,,belfast-west,M
Belfast West,17,58,Jemima,HIGGINS,0,19,Alliance Party,,belfast-west,F
Belfast West,17,59,Gareth Thomas,MARTIN,0,26,Ulster Unionist Party,,belfast-west,M
Belfast West,17,60,Alex,MASKEY,1,24,Sinn Fein,,belfast-west,M
Belfast West,17,61,Fra,MCCANN,1,24,Sinn Fein,,belfast-west,M
Belfast West,17,62,Jennifer,MCCANN,1,24,Sinn Fein,,belfast-west,F
Belfast West,17,63,Rosie,MCCORLEY,1,24,Sinn Fein,,belfast-west,F
Belfast West,17,64,Frank,MCCOUBREY,0,20,Democratic Unionist Party,,belfast-west,M
Belfast West,17,65,Ellen,MURRAY,0,111,Green Party,,belfast-west,F
Belfast West,17,66,Pat,SHEEHAN,1,24,Sinn Fein,,belfast-west,M
